date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_04 10:33;19;0;0;practice;1;21;1;59;69;0;0;0.34000000000000002;0.66000000000000003;0.0;0.0;64;18;5;24;0.14999999999999999;0.040000000000000001;0.51000000000000001;0.29999999999999999;0;15.23237688014433;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;2;58;0;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;0;11.266252359701866;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;3;20;1;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;0;12.366083083331432;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;4;47;0;91;99;90;78;0.93000000000000005;0.040000000000000001;0.02;0.0099999999999999499;10;87;0;0;0.23000000000000001;0.77000000000000002;0.0;0.0;0;12.182765882248532;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;5;29;0;66;40;92;49;0.46999999999999997;0.10000000000000001;0.34000000000000002;0.089999999999999997;8;94;0;0;0.44;0.56000000000000005;0.0;0.0;1;8.366395144545095;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;6;41;0;19;54;51;8;0.76000000000000001;0.070000000000000007;0.16;0.0099999999999999794;2;77;0;0;0.54000000000000004;0.46000000000000002;0.0;0.0;0;14.91595514785513;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;7;54;0;69;80;22;55;0.27000000000000002;0.31;0.059999999999999998;0.35999999999999999;52;2;49;90;0.059999999999999998;0.33000000000000002;0.20000000000000001;0.40999999999999998;1;13.966005212351774;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;8;36;0;56;89;86;77;0.66000000000000003;0.080000000000000002;0.14999999999999999;0.11;29;91;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;0;6.23324475028403;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;9;23;0;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;11.716250724026395;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;10;33;0;54;82;55;71;0.56000000000000005;0.20999999999999999;0.02;0.20999999999999999;13;99;0;0;0.5;0.5;0.0;0.0;1;7.866261724745527;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;11;17;0;27;61;0;0;0.68999999999999995;0.31;0.0;0.0;3;91;69;43;0.29999999999999999;0.33000000000000002;0.27000000000000002;0.099999999999999895;0;4.366580841814539;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;12;31;0;72;59;40;92;0.59999999999999998;0.34999999999999998;0.02;0.029999999999999999;97;29;0;0;0.38;0.62;0.0;0.0;1;3.9832263088455875;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;13;71;1;94;87;26;75;0.71999999999999997;0.23999999999999999;0.02;0.02;90;27;12;83;0.16;0.73999999999999999;0.02;0.080000000000000002;1;2.4998729946137246;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;14;14;1;92;56;0;0;0.11;0.89000000000000001;0.0;0.0;97;31;51;4;0.58999999999999997;0.22;0.080000000000000002;0.11;0;3.033287919286522;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;15;56;0;47;52;64;10;0.77000000000000002;0.040000000000000001;0.11;0.080000000000000002;1;5;12;99;0.14000000000000001;0.28999999999999998;0.27000000000000002;0.29999999999999999;0;5.566497262007033;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;16;19;1;25;73;0;0;0.69999999999999996;0.29999999999999999;0.0;0.0;87;84;1;86;0.040000000000000001;0.59999999999999998;0.28000000000000003;0.080000000000000002;0;9.899539701691538;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;17;75;1;21;86;27;62;0.88;0.040000000000000001;0.070000000000000007;0.0099999999999999794;13;3;49;87;0.28999999999999998;0.39000000000000001;0.070000000000000007;0.25;0;3.9497873301215805;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;18;73;1;99;88;95;28;0.83999999999999997;0.14000000000000001;0.01;0.01;90;93;10;74;0.080000000000000002;0.46000000000000002;0.34999999999999998;0.11;0;1.7833586381948408;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;19;18;1;47;36;0;0;0.089999999999999997;0.91000000000000003;0.0;0.0;2;44;81;9;0.20000000000000001;0.25;0.51000000000000001;0.040000000000000001;0;2.1833460659445336;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;20;39;0;53;65;48;75;0.92000000000000004;0.029999999999999999;0.01;0.040000000000000001;16;83;0;0;0.31;0.68999999999999995;0.0;0.0;0;2.6664357477820886;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;21;34;0;57;23;66;79;0.56000000000000005;0.23000000000000001;0.13;0.079999999999999905;85;9;0;0;0.56000000000000005;0.44;0.0;0.0;0;7.699778189583412;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;22;43;1;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;1;4.916468621651802;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;23;44;1;69;48;22;63;0.39000000000000001;0.40999999999999998;0.19;0.01;1;94;0;0;0.22;0.78000000000000003;0.0;0.0;1;3.266648129011628;22;93;20;2;nein
2019_03_04 10:33;19;0;0;practice;24;51;1;38;13;51;84;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;4;89;35;16;0.80000000000000004;0.089999999999999997;0.059999999999999998;0.050000000000000003;0;7.266430359674814;22;93;20;2;nein
