date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_21 14:14;51;0;0;practice;1;16;0;50;42;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;97;2;56;31;0.35999999999999999;0.16;0.16;0.32000000000000001;0;10.045275596233296;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;2;20;0;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;1;10.816443116934352;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;3;50;0;17;12;21;14;0.55000000000000004;0.34000000000000002;0.059999999999999998;0.049999999999999899;13;93;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;1;10.89987360280793;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;4;32;1;21;86;16;78;0.45000000000000001;0.41999999999999998;0.050000000000000003;0.080000000000000099;95;9;0;0;0.42999999999999999;0.56999999999999995;0.0;0.0;0;14.599833416133151;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;5;75;1;21;86;27;62;0.88;0.040000000000000001;0.070000000000000007;0.0099999999999999794;13;3;49;87;0.28999999999999998;0.39000000000000001;0.070000000000000007;0.25;0;15.133058943555625;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;6;19;0;25;73;0;0;0.69999999999999996;0.29999999999999999;0.0;0.0;87;84;1;86;0.040000000000000001;0.59999999999999998;0.28000000000000003;0.080000000000000002;0;12.28313708787391;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;7;27;1;68;43;98;36;0.54000000000000004;0.44;0.01;0.0099999999999999603;97;13;0;0;0.27000000000000002;0.72999999999999998;0.0;0.0;0;16.416646327441413;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;8;31;0;72;59;40;92;0.59999999999999998;0.34999999999999998;0.02;0.029999999999999999;97;29;0;0;0.38;0.62;0.0;0.0;0;8.699839221230832;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;9;26;1;24;46;74;59;0.29999999999999999;0.11;0.25;0.34000000000000002;91;6;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;0;4.366745896099928;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;10;59;1;13;27;48;51;0.56999999999999995;0.13;0.13;0.17000000000000001;8;37;97;1;0.65000000000000002;0.16;0.14999999999999999;0.040000000000000001;0;15.249739812934422;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;11;29;1;66;40;92;49;0.46999999999999997;0.10000000000000001;0.34000000000000002;0.089999999999999997;8;94;0;0;0.44;0.56000000000000005;0.0;0.0;0;13.699762247554645;4;95;23;1;
2019_03_21 14:14;51;0;0;practice;12;18;1;47;36;0;0;0.089999999999999997;0.91000000000000003;0.0;0.0;2;44;81;9;0.20000000000000001;0.25;0.51000000000000001;0.040000000000000001;0;6.733182614596444;4;95;23;1;
