date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_02_28 12:06;14;0;1;practice;1;64;1;44;60;96;45;0.53000000000000003;0.10000000000000001;0.029999999999999999;0.34000000000000002;88;20;43;31;0.47999999999999998;0.38;0.050000000000000003;0.089999999999999997;1;7.210840877266378;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;2;4;1;40;59;0;0;0.19;0.81000000000000005;0.0;0.0;10;88;13;45;0.56000000000000005;0.28999999999999998;0.01;0.14000000000000001;0;6.9830562182044105;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;3;57;1;39;68;59;91;0.73999999999999999;0.040000000000000001;0.14999999999999999;0.070000000000000007;9;22;40;84;0.29999999999999999;0.32000000000000001;0.040000000000000001;0.34000000000000002;0;10.59956259834155;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;4;67;0;74;31;10;77;0.11;0.070000000000000007;0.77000000000000002;0.050000000000000003;2;23;8;97;0.56999999999999995;0.01;0.059999999999999998;0.35999999999999999;0;16.082813815965437;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;5;6;1;42;59;0;0;0.35999999999999999;0.64000000000000001;0.0;0.0;77;19;6;7;0.44;0.14999999999999999;0.17999999999999999;0.23000000000000001;0;15.749574882022102;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;6;56;1;47;52;64;10;0.77000000000000002;0.040000000000000001;0.11;0.080000000000000002;1;5;12;99;0.14000000000000001;0.28999999999999998;0.27000000000000002;0.29999999999999999;1;6.816371163434496;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;7;11;1;10;44;0;0;0.48999999999999999;0.51000000000000001;0.0;0.0;88;12;54;50;0.17000000000000001;0.75;0.02;0.059999999999999998;0;10.682692326195479;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;8;34;1;57;23;66;79;0.56000000000000005;0.23000000000000001;0.13;0.079999999999999905;85;9;0;0;0.56000000000000005;0.44;0.0;0.0;1;2.749976426879357;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;9;18;0;47;36;0;0;0.089999999999999997;0.91000000000000003;0.0;0.0;2;44;81;9;0.20000000000000001;0.25;0.51000000000000001;0.040000000000000001;0;7.949688546157404;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;10;58;0;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;1;9.332949962764133;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;11;7;1;13;31;0;0;0.51000000000000001;0.48999999999999999;0.0;0.0;8;79;42;18;0.85999999999999999;0.089999999999999997;0.02;0.029999999999999999;0;8.216324594494154;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;12;61;1;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;0;7.266614239191085;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;13;26;1;24;46;74;59;0.29999999999999999;0.11;0.25;0.34000000000000002;91;6;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;0;7.216354100985427;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;14;69;1;38;74;27;73;0.22;0.19;0.45000000000000001;0.14000000000000001;1;97;79;84;0.28000000000000003;0.45000000000000001;0.17000000000000001;0.10000000000000001;0;12.232851757464346;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;15;29;0;66;40;92;49;0.46999999999999997;0.10000000000000001;0.34000000000000002;0.089999999999999997;8;94;0;0;0.44;0.56000000000000005;0.0;0.0;1;7.333146565797165;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;16;38;1;51;89;10;60;0.57999999999999996;0.029999999999999999;0.080000000000000002;0.31;8;84;0;0;0.33000000000000002;0.67000000000000004;0.0;0.0;1;14.882892585467857;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;17;75;1;21;86;27;62;0.88;0.040000000000000001;0.070000000000000007;0.0099999999999999794;13;3;49;87;0.28999999999999998;0.39000000000000001;0.070000000000000007;0.25;0;23.31589905957685;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;18;2;1;41;60;0;0;0.97999999999999998;0.02;0.0;0.0;10;14;97;6;0.54000000000000004;0.17000000000000001;0.12;0.17000000000000001;0;7.9496535873799985;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;19;51;1;38;13;51;84;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;4;89;35;16;0.80000000000000004;0.089999999999999997;0.059999999999999998;0.050000000000000003;0;11.44962760883891;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;20;72;1;86;85;97;43;0.51000000000000001;0.14999999999999999;0.33000000000000002;0.0099999999999999499;72;29;10;90;0.01;0.11;0.65000000000000002;0.23000000000000001;0;8.899759714531001;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;21;65;0;35;15;77;1;0.62;0.33000000000000002;0.029999999999999999;0.02;68;3;25;96;0.38;0.28000000000000003;0.28000000000000003;0.059999999999999901;0;21.632522952522095;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;22;63;1;24;82;6;96;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;73;10;71;22;0.31;0.51000000000000001;0.050000000000000003;0.13;0;22.065817114919355;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;23;62;1;65;52;74;55;0.16;0.12;0.14999999999999999;0.56999999999999995;72;86;2;68;0.12;0.53000000000000003;0.22;0.13;0;10.549715871733952;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;24;39;1;53;65;48;75;0.92000000000000004;0.029999999999999999;0.01;0.040000000000000001;16;83;0;0;0.31;0.68999999999999995;0.0;0.0;0;8.649661733737275;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;25;43;0;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;0;8.483126777204689;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;26;68;0;39;58;40;8;0.48999999999999999;0.44;0.02;0.050000000000000003;92;83;51;2;0.57999999999999996;0.13;0.02;0.27000000000000002;1;12.366338161065642;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;27;42;1;23;45;91;22;0.72999999999999998;0.02;0.20000000000000001;0.050000000000000003;2;86;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;0;5.899742074780988;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;28;60;1;39;93;27;78;0.85999999999999999;0.02;0.11;0.01;22;5;62;95;0.059999999999999998;0.56999999999999995;0.14000000000000001;0.23000000000000001;0;9.999585626233738;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;29;17;0;27;61;0;0;0.68999999999999995;0.31;0.0;0.0;3;91;69;43;0.29999999999999999;0.33000000000000002;0.27000000000000002;0.099999999999999895;0;9.516296884050462;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;30;44;0;69;48;22;63;0.39000000000000001;0.40999999999999998;0.19;0.01;1;94;0;0;0.22;0.78000000000000003;0.0;0.0;0;13.449474303374245;72;84;24;2; nein
2019_02_28 12:06;14;0;1;practice;31;33;0;54;82;55;71;0.56000000000000005;0.20999999999999999;0.02;0.20999999999999999;13;99;0;0;0.5;0.5;0.0;0.0;0;7.049834859866678;72;84;24;2; nein
