date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_21 13:12;46;0;1;practice;1;62;0;65;52;74;55;0.16;0.12;0.14999999999999999;0.56999999999999995;72;86;2;68;0.12;0.53000000000000003;0.22;0.13;0;11.938782048917801;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;2;22;1;84;87;0;0;0.17000000000000001;0.82999999999999996;0.0;0.0;3;24;41;83;0.68000000000000005;0.11;0.10000000000000001;0.11;0;5.682956452631515;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;3;11;1;10;44;0;0;0.48999999999999999;0.51000000000000001;0.0;0.0;88;12;54;50;0.17000000000000001;0.75;0.02;0.059999999999999998;1;4.666522557518192;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;4;44;1;69;48;22;63;0.39000000000000001;0.40999999999999998;0.19;0.01;1;94;0;0;0.22;0.78000000000000003;0.0;0.0;0;1.466721530772702;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;5;14;1;92;56;0;0;0.11;0.89000000000000001;0.0;0.0;97;31;51;4;0.58999999999999997;0.22;0.080000000000000002;0.11;0;2.8166338305206864;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;6;30;1;54;78;85;25;0.20999999999999999;0.60999999999999999;0.089999999999999997;0.090000000000000094;87;20;0;0;0.58999999999999997;0.40999999999999998;0.0;0.0;0;2.78316405319174;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;7;13;0;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;0;2.6664728462765197;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;8;54;1;69;80;22;55;0.27000000000000002;0.31;0.059999999999999998;0.35999999999999999;52;2;49;90;0.059999999999999998;0.33000000000000002;0.20000000000000001;0.40999999999999998;0;4.08310340547655;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;9;20;1;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;0;2.0332144860483368;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;10;32;0;21;86;16;78;0.45000000000000001;0.41999999999999998;0.050000000000000003;0.080000000000000099;95;9;0;0;0.42999999999999999;0.56999999999999995;0.0;0.0;0;1.6999766196804558;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;11;19;0;25;73;0;0;0.69999999999999996;0.29999999999999999;0.0;0.0;87;84;1;86;0.040000000000000001;0.59999999999999998;0.28000000000000003;0.080000000000000002;0;2.483326368414282;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;12;29;0;66;40;92;49;0.46999999999999997;0.10000000000000001;0.34000000000000002;0.089999999999999997;8;94;0;0;0.44;0.56000000000000005;0.0;0.0;0;2.5664759572380262;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;13;2;1;41;60;0;0;0.97999999999999998;0.02;0.0;0.0;10;14;97;6;0.54000000000000004;0.17000000000000001;0.12;0.17000000000000001;0;2.833164261658112;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;14;41;0;19;54;51;8;0.76000000000000001;0.070000000000000007;0.16;0.0099999999999999794;2;77;0;0;0.54000000000000004;0.46000000000000002;0.0;0.0;0;1.833015769368103;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;15;43;1;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;0;1.3833121606205623;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;16;5;1;23;58;0;0;0.71999999999999997;0.28000000000000003;0.0;0.0;94;12;52;3;0.11;0.84999999999999998;0.029999999999999999;0.01;0;2.5665112361837146;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;17;36;0;56;89;86;77;0.66000000000000003;0.080000000000000002;0.14999999999999999;0.11;29;91;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;0;3.066422557742726;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;18;21;0;59;69;0;0;0.34000000000000002;0.66000000000000003;0.0;0.0;64;18;5;24;0.14999999999999999;0.040000000000000001;0.51000000000000001;0.29999999999999999;0;2.2332964614895445;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;19;55;0;53;11;80;74;0.31;0.37;0.28000000000000003;0.039999999999999897;6;93;98;96;0.69999999999999996;0.22;0.050000000000000003;0.029999999999999999;0;2.149804666891214;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;20;40;0;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;0;1.4500589639471855;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;21;53;0;47;24;95;38;0.57999999999999996;0.28000000000000003;0.02;0.12;8;22;93;96;0.54000000000000004;0.34000000000000002;0.10000000000000001;0.0199999999999999;0;3.1331347235588964;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;22;33;1;54;82;55;71;0.56000000000000005;0.20999999999999999;0.02;0.20999999999999999;13;99;0;0;0.5;0.5;0.0;0.0;0;1.8832199542848684;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;23;26;1;24;46;74;59;0.29999999999999999;0.11;0.25;0.34000000000000002;91;6;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;0;1.4335939592181148;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;24;39;0;53;65;48;75;0.92000000000000004;0.029999999999999999;0.01;0.040000000000000001;16;83;0;0;0.31;0.68999999999999995;0.0;0.0;0;3.249803159518251;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;25;3;0;20;70;0;0;0.13;0.87;0.0;0.0;95;19;80;73;0.31;0.57999999999999996;0.029999999999999999;0.080000000000000002;1;1.766694237697493;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;26;17;0;27;61;0;0;0.68999999999999995;0.31;0.0;0.0;3;91;69;43;0.29999999999999999;0.33000000000000002;0.27000000000000002;0.099999999999999895;0;1.9999608724419886;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;27;45;0;37;40;75;23;0.54000000000000004;0.38;0.059999999999999998;0.02;1;90;0;0;0.28000000000000003;0.71999999999999997;0.0;0.0;0;1.6665090873755162;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;28;48;1;20;25;24;35;0.32000000000000001;0.13;0.48999999999999999;0.059999999999999901;44;76;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;1;2.4665037634617875;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;29;61;1;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;0;4.349748733726528;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;30;56;1;47;52;64;10;0.77000000000000002;0.040000000000000001;0.11;0.080000000000000002;1;5;12;99;0.14000000000000001;0.28999999999999998;0.27000000000000002;0.29999999999999999;0;1.3665771115972802;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;31;6;0;42;59;0;0;0.35999999999999999;0.64000000000000001;0.0;0.0;77;19;6;7;0.44;0.14999999999999999;0.17999999999999999;0.23000000000000001;0;1.7665624227272474;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;32;35;1;84;95;4;35;0.89000000000000001;0.050000000000000003;0.01;0.050000000000000003;5;98;0;0;0.19;0.81000000000000005;0.0;0.0;0;1.1832519939821395;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;33;12;1;45;86;0;0;0.97999999999999998;0.02;0.0;0.0;6;23;95;81;0.14999999999999999;0.40999999999999998;0.050000000000000003;0.39000000000000001;0;5.8829765295586185;58;17;20;2;nein aber es war lustig
2019_03_21 13:12;46;0;1;practice;34;38;1;51;89;10;60;0.57999999999999996;0.029999999999999999;0.080000000000000002;0.31;8;84;0;0;0.33000000000000002;0.67000000000000004;0.0;0.0;0;1.2998511549203613;58;17;20;2;nein aber es war lustig
