date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_02_22 08:59;4;0;1;practice;1;10;1;34;59;0;0;0.16;0.83999999999999997;0.0;0.0;21;61;96;7;0.19;0.01;0.5;0.29999999999999999;1;15.946618460366153;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;2;14;1;92;56;0;0;0.11;0.89000000000000001;0.0;0.0;97;31;51;4;0.58999999999999997;0.22;0.080000000000000002;0.11;0;3.902668323290527;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;3;52;0;17;61;57;59;0.070000000000000007;0.050000000000000003;0.33000000000000002;0.55000000000000004;12;93;94;62;0.71999999999999997;0.16;0.080000000000000002;0.040000000000000001;0;2.6917502568963982;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;4;4;1;40;59;0;0;0.19;0.81000000000000005;0.0;0.0;10;88;13;45;0.56000000000000005;0.28999999999999998;0.01;0.14000000000000001;0;4.322948324368099;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;5;7;1;13;31;0;0;0.51000000000000001;0.48999999999999999;0.0;0.0;8;79;42;18;0.85999999999999999;0.089999999999999997;0.02;0.029999999999999999;0;4.232726039997601;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;6;13;0;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;1;3.4021875645448745;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;7;60;1;39;93;27;78;0.85999999999999999;0.02;0.11;0.01;22;5;62;95;0.059999999999999998;0.56999999999999995;0.14000000000000001;0.23000000000000001;0;5.0133881208009825;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;8;23;1;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;5.3635684293846;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;9;48;1;20;25;24;35;0.32000000000000001;0.13;0.48999999999999999;0.059999999999999901;44;76;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;1;3.642355903871362;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;10;19;0;25;73;0;0;0.69999999999999996;0.29999999999999999;0.0;0.0;87;84;1;86;0.040000000000000001;0.59999999999999998;0.28000000000000003;0.080000000000000002;1;5.193372777573245;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;11;59;1;13;27;48;51;0.56999999999999995;0.13;0.13;0.17000000000000001;8;37;97;1;0.65000000000000002;0.16;0.14999999999999999;0.040000000000000001;1;7.785069089425633;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;12;31;1;72;59;40;92;0.59999999999999998;0.34999999999999998;0.02;0.029999999999999999;97;29;0;0;0.38;0.62;0.0;0.0;0;4.843143398884081;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;13;42;0;23;45;91;22;0.72999999999999998;0.02;0.20000000000000001;0.050000000000000003;2;86;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;4.112781704098893;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;14;9;1;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;1;5.003382950800415;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;15;56;1;47;52;64;10;0.77000000000000002;0.040000000000000001;0.11;0.080000000000000002;1;5;12;99;0.14000000000000001;0.28999999999999998;0.27000000000000002;0.29999999999999999;0;2.4615652786347937;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;16;21;1;59;69;0;0;0.34000000000000002;0.66000000000000003;0.0;0.0;64;18;5;24;0.14999999999999999;0.040000000000000001;0.51000000000000001;0.29999999999999999;0;2.2414076000293335;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;17;18;0;47;36;0;0;0.089999999999999997;0.91000000000000003;0.0;0.0;2;44;81;9;0.20000000000000001;0.25;0.51000000000000001;0.040000000000000001;0;3.912512492030146;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;18;15;0;24;59;0;0;0.56999999999999995;0.42999999999999999;0.0;0.0;9;8;80;22;0.31;0.10000000000000001;0.55000000000000004;0.039999999999999897;0;2.0814445084457702;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;19;65;0;35;15;77;1;0.62;0.33000000000000002;0.029999999999999999;0.02;68;3;25;96;0.38;0.28000000000000003;0.28000000000000003;0.059999999999999901;0;4.77315884474217;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;20;75;1;21;86;27;62;0.88;0.040000000000000001;0.070000000000000007;0.0099999999999999794;13;3;49;87;0.28999999999999998;0.39000000000000001;0.070000000000000007;0.25;0;2.7817752986861706;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;21;24;0;19;38;0;0;0.89000000000000001;0.11;0.0;0.0;45;76;95;57;0.29999999999999999;0.22;0.40000000000000002;0.080000000000000002;1;3.0420832280303785;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;22;26;1;24;46;74;59;0.29999999999999999;0.11;0.25;0.34000000000000002;91;6;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;0;3.4021872438250966;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;23;68;0;39;58;40;8;0.48999999999999999;0.44;0.02;0.050000000000000003;92;83;51;2;0.57999999999999996;0.13;0.02;0.27000000000000002;0;5.203382437648884;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;24;40;0;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;0;5.203398152911404;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;25;72;0;86;85;97;43;0.51000000000000001;0.14999999999999999;0.33000000000000002;0.0099999999999999499;72;29;10;90;0.01;0.11;0.65000000000000002;0.23000000000000001;0;2.7719266398715945;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;26;50;1;17;12;21;14;0.55000000000000004;0.34000000000000002;0.059999999999999998;0.049999999999999899;13;93;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;1;4.873151853053969;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;27;20;0;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;0;4.162686642796643;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;28;8;0;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;0;4.643086823938916;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;29;61;1;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;0;6.5843123834985136;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;30;47;0;91;99;90;78;0.93000000000000005;0.040000000000000001;0.02;0.0099999999999999499;10;87;0;0;0.23000000000000001;0.77000000000000002;0.0;0.0;0;2.391796889532543;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;31;27;1;68;43;98;36;0.54000000000000004;0.44;0.01;0.0099999999999999603;97;13;0;0;0.27000000000000002;0.72999999999999998;0.0;0.0;0;4.563081705253467;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;32;33;1;54;82;55;71;0.56000000000000005;0.20999999999999999;0.02;0.20999999999999999;13;99;0;0;0.5;0.5;0.0;0.0;0;4.1228298505318435;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;33;46;1;79;57;98;81;0.67000000000000004;0.070000000000000007;0.20999999999999999;0.050000000000000003;1;76;0;0;0.56000000000000005;0.44;0.0;0.0;0;3.912638855569753;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;34;2;0;41;60;0;0;0.97999999999999998;0.02;0.0;0.0;10;14;97;6;0.54000000000000004;0.17000000000000001;0.12;0.17000000000000001;0;6.284289099252419;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;35;3;0;20;70;0;0;0.13;0.87;0.0;0.0;95;19;80;73;0.31;0.57999999999999996;0.029999999999999999;0.080000000000000002;0;6.764397104799627;55;88;20;2;
2019_02_22 08:59;4;0;1;practice;36;44;1;69;48;22;63;0.39000000000000001;0.40999999999999998;0.19;0.01;1;94;0;0;0.22;0.78000000000000003;0.0;0.0;1;7.324930692484941;55;88;20;2;
