date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_02_22 11:21;10;0;1;practice;1;40;0;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;1;10.172552737614751;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;2;50;0;17;12;21;14;0.55000000000000004;0.34000000000000002;0.059999999999999998;0.049999999999999899;13;93;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;1;6.833496640785597;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;3;16;0;50;42;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;97;2;56;31;0.35999999999999999;0.16;0.16;0.32000000000000001;1;6.349924835807542;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;4;8;0;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;1;7.549935355908019;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;5;7;1;13;31;0;0;0.51000000000000001;0.48999999999999999;0.0;0.0;8;79;42;18;0.85999999999999999;0.089999999999999997;0.02;0.029999999999999999;0;8.366771108596367;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;6;66;0;44;18;63;36;0.47999999999999998;0.10000000000000001;0.029999999999999999;0.39000000000000001;13;93;61;53;0.52000000000000002;0.45000000000000001;0.02;0.0099999999999999707;0;14.800117453070925;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;7;70;1;21;42;14;63;0.96999999999999997;0.01;0.01;0.01;70;2;6;76;0.23999999999999999;0.42999999999999999;0.01;0.32000000000000001;1;4.533523999460158;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;8;34;1;57;23;66;79;0.56000000000000005;0.23000000000000001;0.13;0.079999999999999905;85;9;0;0;0.56000000000000005;0.44;0.0;0.0;0;7.400149975575914;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;9;36;1;56;89;86;77;0.66000000000000003;0.080000000000000002;0.14999999999999999;0.11;29;91;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;4.6166032841319975;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;10;48;1;20;25;24;35;0.32000000000000001;0.13;0.48999999999999999;0.059999999999999901;44;76;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;1;3.8167735301449284;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;11;22;1;84;87;0;0;0.17000000000000001;0.82999999999999996;0.0;0.0;3;24;41;83;0.68000000000000005;0.11;0.10000000000000001;0.11;0;4.333284795473446;68;27;51;2;nein
2019_02_22 11:21;10;0;1;practice;12;5;1;23;58;0;0;0.71999999999999997;0.28000000000000003;0.0;0.0;94;12;52;3;0.11;0.84999999999999998;0.029999999999999999;0.01;0;3.866754911492535;68;27;51;2;nein
