date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_14 13:57;27;0;0;practice;1;60;1;39;93;27;78;0.85999999999999999;0.02;0.11;0.01;22;5;62;95;0.059999999999999998;0.56999999999999995;0.14000000000000001;0.23000000000000001;1;5.071322412545669;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;2;38;0;51;89;10;60;0.57999999999999996;0.029999999999999999;0.080000000000000002;0.31;8;84;0;0;0.33000000000000002;0.67000000000000004;0.0;0.0;0;2.683298545719481;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;3;61;0;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;0;2.1998715188867664;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;4;1;1;67;36;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;1;4;81;77;0.25;0.54000000000000004;0.14000000000000001;0.070000000000000007;1;8.916334612799119;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;5;9;1;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;1;2.849838099685485;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;6;12;1;45;86;0;0;0.97999999999999998;0.02;0.0;0.0;6;23;95;81;0.14999999999999999;0.40999999999999998;0.050000000000000003;0.39000000000000001;1;1.5832266399140735;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;7;72;1;86;85;97;43;0.51000000000000001;0.14999999999999999;0.33000000000000002;0.0099999999999999499;72;29;10;90;0.01;0.11;0.65000000000000002;0.23000000000000001;0;2.583179814545929;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;8;39;0;53;65;48;75;0.92000000000000004;0.029999999999999999;0.01;0.040000000000000001;16;83;0;0;0.31;0.68999999999999995;0.0;0.0;0;2.5832737860043835;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;9;46;0;79;57;98;81;0.67000000000000004;0.070000000000000007;0.20999999999999999;0.050000000000000003;1;76;0;0;0.56000000000000005;0.44;0.0;0.0;0;1.5498802425167924;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;10;25;0;7;18;0;0;0.20999999999999999;0.79000000000000004;0.0;0.0;92;45;33;13;0.41999999999999998;0.17999999999999999;0.22;0.17999999999999999;1;3.1164771415230916;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;11;23;0;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;2.066654628912147;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;12;65;1;35;15;77;1;0.62;0.33000000000000002;0.029999999999999999;0.02;68;3;25;96;0.38;0.28000000000000003;0.28000000000000003;0.059999999999999901;1;1.8998835138781942;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;13;33;1;54;82;55;71;0.56000000000000005;0.20999999999999999;0.02;0.20999999999999999;13;99;0;0;0.5;0.5;0.0;0.0;1;2.9499629245713095;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;14;35;1;84;95;4;35;0.89000000000000001;0.050000000000000003;0.01;0.050000000000000003;5;98;0;0;0.19;0.81000000000000005;0.0;0.0;1;3.6498180866515213;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;15;42;1;23;45;91;22;0.72999999999999998;0.02;0.20000000000000001;0.050000000000000003;2;86;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;0;3.649937715845681;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;16;48;0;20;25;24;35;0.32000000000000001;0.13;0.48999999999999999;0.059999999999999901;44;76;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;1;2.899857214698841;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;17;24;1;19;38;0;0;0.89000000000000001;0.11;0.0;0.0;45;76;95;57;0.29999999999999999;0.22;0.40000000000000002;0.080000000000000002;1;2.116641030311939;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;18;47;1;91;99;90;78;0.93000000000000005;0.040000000000000001;0.02;0.0099999999999999499;10;87;0;0;0.23000000000000001;0.77000000000000002;0.0;0.0;0;3.083286294150639;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;19;66;1;44;18;63;36;0.47999999999999998;0.10000000000000001;0.029999999999999999;0.39000000000000001;13;93;61;53;0.52000000000000002;0.45000000000000001;0.02;0.0099999999999999707;1;3.666478296121113;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;20;56;0;47;52;64;10;0.77000000000000002;0.040000000000000001;0.11;0.080000000000000002;1;5;12;99;0.14000000000000001;0.28999999999999998;0.27000000000000002;0.29999999999999999;1;2.4165264043761;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;21;57;0;39;68;59;91;0.73999999999999999;0.040000000000000001;0.14999999999999999;0.070000000000000007;9;22;40;84;0.29999999999999999;0.32000000000000001;0.040000000000000001;0.34000000000000002;1;4.466421720813059;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;22;4;0;40;59;0;0;0.19;0.81000000000000005;0.0;0.0;10;88;13;45;0.56000000000000005;0.28999999999999998;0.01;0.14000000000000001;1;3.616452766673774;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;23;73;0;99;88;95;28;0.83999999999999997;0.14000000000000001;0.01;0.01;90;93;10;74;0.080000000000000002;0.46000000000000002;0.34999999999999998;0.11;0;2.366540644419729;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;24;74;1;36;46;10;12;0.11;0.19;0.65000000000000002;0.049999999999999899;92;24;79;19;0.51000000000000001;0.40999999999999998;0.02;0.059999999999999998;1;3.0331850743818904;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;25;68;1;39;58;40;8;0.48999999999999999;0.44;0.02;0.050000000000000003;92;83;51;2;0.57999999999999996;0.13;0.02;0.27000000000000002;1;3.716446095662377;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;26;58;0;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;1;6.133020608293691;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;27;43;1;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;1;2.6831728228128213;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;28;36;0;56;89;86;77;0.66000000000000003;0.080000000000000002;0.14999999999999999;0.11;29;91;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;2.3165276231186454;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;29;34;1;57;23;66;79;0.56000000000000005;0.23000000000000001;0.13;0.079999999999999905;85;9;0;0;0.56000000000000005;0.44;0.0;0.0;1;2.1331841763610555;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;30;20;0;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;1;1.5833802656088665;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;31;55;0;53;11;80;74;0.31;0.37;0.28000000000000003;0.039999999999999897;6;93;98;96;0.69999999999999996;0.22;0.050000000000000003;0.029999999999999999;1;7.699657597512214;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;32;54;0;69;80;22;55;0.27000000000000002;0.31;0.059999999999999998;0.35999999999999999;52;2;49;90;0.059999999999999998;0.33000000000000002;0.20000000000000001;0.40999999999999998;1;3.26648317109084;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;33;70;0;21;42;14;63;0.96999999999999997;0.01;0.01;0.01;70;2;6;76;0.23999999999999999;0.42999999999999999;0.01;0.32000000000000001;1;2.6998538791931423;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;34;59;1;13;27;48;51;0.56999999999999995;0.13;0.13;0.17000000000000001;8;37;97;1;0.65000000000000002;0.16;0.14999999999999999;0.040000000000000001;1;1.916545968399987;36;87;23;2;
2019_03_14 13:57;27;0;0;practice;35;64;0;44;60;96;45;0.53000000000000003;0.10000000000000001;0.029999999999999999;0.34000000000000002;88;20;43;31;0.47999999999999998;0.38;0.050000000000000003;0.089999999999999997;0;2.6331527456343338;36;87;23;2;
