date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_15 12:49;32;0;1;practice;1;37;0;50;66;99;12;0.26000000000000001;0.71999999999999997;0.01;0.01;22;90;0;0;0.37;0.63;0.0;0.0;0;11.807978119152722;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;2;10;1;34;59;0;0;0.16;0.83999999999999997;0.0;0.0;21;61;96;7;0.19;0.01;0.5;0.29999999999999999;1;5.11694758590329;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;3;45;0;37;40;75;23;0.54000000000000004;0.38;0.059999999999999998;0.02;1;90;0;0;0.28000000000000003;0.71999999999999997;0.0;0.0;1;5.216483567234945;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;4;62;1;65;52;74;55;0.16;0.12;0.14999999999999999;0.56999999999999995;72;86;2;68;0.12;0.53000000000000003;0.22;0.13;1;3.499895124340128;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;5;6;0;42;59;0;0;0.35999999999999999;0.64000000000000001;0.0;0.0;77;19;6;7;0.44;0.14999999999999999;0.17999999999999999;0.23000000000000001;1;3.4498527571395243;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;6;30;1;54;78;85;25;0.20999999999999999;0.60999999999999999;0.089999999999999997;0.090000000000000094;87;20;0;0;0.58999999999999997;0.40999999999999998;0.0;0.0;1;3.366533695875887;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;7;73;0;99;88;95;28;0.83999999999999997;0.14000000000000001;0.01;0.01;90;93;10;74;0.080000000000000002;0.46000000000000002;0.34999999999999998;0.11;0;3.166532926146374;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;8;9;0;57;44;0;0;0.14999999999999999;0.84999999999999998;0.0;0.0;38;35;64;95;0.34000000000000002;0.45000000000000001;0.089999999999999997;0.12;1;2.683193723624754;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;9;3;1;20;70;0;0;0.13;0.87;0.0;0.0;95;19;80;73;0.31;0.57999999999999996;0.029999999999999999;0.080000000000000002;1;1.2500537207126854;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;10;47;1;91;99;90;78;0.93000000000000005;0.040000000000000001;0.02;0.0099999999999999499;10;87;0;0;0.23000000000000001;0.77000000000000002;0.0;0.0;0;1.9165273135347434;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;11;58;0;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;0;4.583307515319348;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;12;35;0;84;95;4;35;0.89000000000000001;0.050000000000000003;0.01;0.050000000000000003;5;98;0;0;0.19;0.81000000000000005;0.0;0.0;1;3.3166844025197406;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;13;40;0;29;65;30;41;0.70999999999999996;0.01;0.14999999999999999;0.13;2;59;0;0;0.32000000000000001;0.68000000000000005;0.0;0.0;0;4.083134967597516;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;14;51;1;38;13;51;84;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;4;89;35;16;0.80000000000000004;0.089999999999999997;0.059999999999999998;0.050000000000000003;1;3.049847048311449;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;15;27;1;68;43;98;36;0.54000000000000004;0.44;0.01;0.0099999999999999603;97;13;0;0;0.27000000000000002;0.72999999999999998;0.0;0.0;0;5.33315918200833;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;16;12;0;45;86;0;0;0.97999999999999998;0.02;0.0;0.0;6;23;95;81;0.14999999999999999;0.40999999999999998;0.050000000000000003;0.39000000000000001;1;4.049890666322881;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;17;11;0;10;44;0;0;0.48999999999999999;0.51000000000000001;0.0;0.0;88;12;54;50;0.17000000000000001;0.75;0.02;0.059999999999999998;1;2.650049807920368;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;18;13;0;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;1;2.349908177671523;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;19;64;1;44;60;96;45;0.53000000000000003;0.10000000000000001;0.029999999999999999;0.34000000000000002;88;20;43;31;0.47999999999999998;0.38;0.050000000000000003;0.089999999999999997;1;4.666529077498353;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;20;8;1;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;1;1.9665465888469953;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;21;26;1;24;46;74;59;0.29999999999999999;0.11;0.25;0.34000000000000002;91;6;0;0;0.28999999999999998;0.70999999999999996;0.0;0.0;1;2.4498906021785842;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;22;46;0;79;57;98;81;0.67000000000000004;0.070000000000000007;0.20999999999999999;0.050000000000000003;1;76;0;0;0.56000000000000005;0.44;0.0;0.0;0;2.383243884337844;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;23;66;1;44;18;63;36;0.47999999999999998;0.10000000000000001;0.029999999999999999;0.39000000000000001;13;93;61;53;0.52000000000000002;0.45000000000000001;0.02;0.0099999999999999707;1;3.5665460115499172;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;24;43;1;11;17;21;44;0.16;0.46000000000000002;0.25;0.13;2;66;0;0;0.44;0.56000000000000005;0.0;0.0;1;3.249852949571732;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;25;20;1;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;1;1.7165688789336855;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;26;41;1;19;54;51;8;0.76000000000000001;0.070000000000000007;0.16;0.0099999999999999794;2;77;0;0;0.54000000000000004;0.46000000000000002;0.0;0.0;1;3.14986154488588;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;27;5;0;23;58;0;0;0.71999999999999997;0.28000000000000003;0.0;0.0;94;12;52;3;0.11;0.84999999999999998;0.029999999999999999;0.01;1;2.116546043621838;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;28;49;1;14;31;42;22;0.77000000000000002;0.089999999999999997;0.02;0.12;87;28;0;0;0.68000000000000005;0.32000000000000001;0.0;0.0;1;1.8167167953079115;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;29;7;0;13;31;0;0;0.51000000000000001;0.48999999999999999;0.0;0.0;8;79;42;18;0.85999999999999999;0.089999999999999997;0.02;0.029999999999999999;1;1.7000578580093588;74;92;22;2;kein kommentar
2019_03_15 12:49;32;0;1;practice;30;39;0;53;65;48;75;0.92000000000000004;0.029999999999999999;0.01;0.040000000000000001;16;83;0;0;0.31;0.68999999999999995;0.0;0.0;1;3.31674694305093;74;92;22;2;kein kommentar
