date;id;block;order;cond;trial;gameid;leftright;oa1;oa2;oa3;oa4;pa1;pa2;pa3;pa4;ob1;ob2;ob3;ob4;pb1;pb2;pb3;pb4;choice;rt;paytrial;payout;alter;geschlecht;comment
2019_03_18 11:42;40;0;1;practice;1;75;0;21;86;27;62;0.88;0.040000000000000001;0.070000000000000007;0.0099999999999999794;13;3;49;87;0.28999999999999998;0.39000000000000001;0.070000000000000007;0.25;0;8.071948274628085;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;2;54;0;69;80;22;55;0.27000000000000002;0.31;0.059999999999999998;0.35999999999999999;52;2;49;90;0.059999999999999998;0.33000000000000002;0.20000000000000001;0.40999999999999998;0;13.16670007643188;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;3;58;1;44;50;85;42;0.38;0.57999999999999996;0.02;0.02;37;88;19;12;0.20000000000000001;0.29999999999999999;0.46000000000000002;0.040000000000000001;0;11.200371024784545;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;4;5;0;23;58;0;0;0.71999999999999997;0.28000000000000003;0.0;0.0;94;12;52;3;0.11;0.84999999999999998;0.029999999999999999;0.01;0;9.166572424403057;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;5;8;0;20;44;0;0;0.26000000000000001;0.73999999999999999;0.0;0.0;99;3;69;24;0.20999999999999999;0.60999999999999999;0.12;0.060000000000000102;0;8.449928492414983;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;6;20;0;32;11;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;1;86;42;65;0.45000000000000001;0.38;0.050000000000000003;0.12;0;7.233557985933658;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;7;55;1;53;11;80;74;0.31;0.37;0.28000000000000003;0.039999999999999897;6;93;98;96;0.69999999999999996;0.22;0.050000000000000003;0.029999999999999999;0;7.350070930266156;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;8;23;1;99;93;0;0;0.57999999999999996;0.41999999999999998;0.0;0.0;64;10;80;81;0.13;0.55000000000000004;0.02;0.29999999999999999;0;5.41661965244748;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;9;25;1;7;18;0;0;0.20999999999999999;0.79000000000000004;0.0;0.0;92;45;33;13;0.41999999999999998;0.17999999999999999;0.22;0.17999999999999999;1;7.366502440301701;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;10;22;1;84;87;0;0;0.17000000000000001;0.82999999999999996;0.0;0.0;3;24;41;83;0.68000000000000005;0.11;0.10000000000000001;0.11;0;4.483281272901877;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;11;13;1;15;25;0;0;0.29999999999999999;0.69999999999999996;0.0;0.0;3;43;35;73;0.44;0.40000000000000002;0.01;0.14999999999999999;0;9.41657154238601;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;12;63;0;24;82;6;96;0.91000000000000003;0.070000000000000007;0.01;0.0099999999999999603;73;10;71;22;0.31;0.51000000000000001;0.050000000000000003;0.13;0;12.267343436231386;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;13;10;0;34;59;0;0;0.16;0.83999999999999997;0.0;0.0;21;61;96;7;0.19;0.01;0.5;0.29999999999999999;0;12.04994177079061;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;14;61;0;51;48;56;88;0.91000000000000003;0.02;0.01;0.059999999999999998;78;21;14;82;0.55000000000000004;0.29999999999999999;0.070000000000000007;0.080000000000000002;0;12.599981846471564;37;64;24;2;nein
2019_03_18 11:42;40;0;1;practice;15;42;1;23;45;91;22;0.72999999999999998;0.02;0.20000000000000001;0.050000000000000003;2;86;0;0;0.40999999999999998;0.58999999999999997;0.0;0.0;0;4.783229217817279;37;64;24;2;nein
